Year,Petrol,Diesel,Electricity,LPG,CNG,Hydrogen
0,1,1,1,1,1,1
1,1.111077026,1.133644599,1.013993828,1,1,1
2,1.094723344,1.136907948,1.030540335,1,1,1
3,1.122392189,1.164566825,1.176488295,1,1,1
4,1.125504775,1.16820824,1.314047952,1,1,1
5,1.134518496,1.177580541,1.373026819,1,1,1
6,1.146274637,1.189694749,1.47551237,1,1,1
7,1.156151299,1.199912943,1.467258688,1,1,1
8,1.166660241,1.210804592,1.489804099,1,1,1
9,1.176517289,1.221057225,1.510357237,1,1,1
10,1.185702599,1.230651391,1.514877506,1,1,1
11,1.194198473,1.239569742,1.545619548,1,1,1
12,1.202723328,1.2485165,1.583484824,1,1,1
13,1.211277361,1.257491861,1.58855677,1,1,1
14,1.220246591,1.266927881,1.681935242,1,1,1
15,1.228859577,1.27596103,1.685602725,1,1,1
16,1.237888164,1.285455234,1.755518296,1,1,1
17,1.246560911,1.294546964,1.677072695,1,1,1
18,1.255649664,1.304100146,1.660273851,1,1,1
19,1.26476881,1.31368312,1.723766031,1,1,1
20,1.273918555,1.323296089,1.617872743,1,1,1
21,1.283126715,1.332971783,1.606090358,1,1,1
22,1.292401434,1.342718223,1.59439378,1,1,1
23,1.301743192,1.352535928,1.582782385,1,1,1
24,1.311152474,1.362425418,1.571255551,1,1,1
25,1.320629769,1.372387218,1.559812662,1,1,1
26,1.330175568,1.382421857,1.548453109,1,1,1
27,1.339790366,1.392529867,1.537176282,1,1,1
28,1.349474662,1.402711785,1.525981581,1,1,1
29,1.359228958,1.412968151,1.514868407,1,1,1
30,1.36905376,1.42329951,1.503836166,1,1,1
31,1.378949578,1.43370641,1.492884269,1,1,1
32,1.388916925,1.444189404,1.48201213,1,1,1
33,1.398956318,1.454749047,1.471219169,1,1,1
34,1.409068278,1.4653859,1.46050481,1,1,1
35,1.41925333,1.476100528,1.44986848,1,1,1
36,1.429512001,1.486893499,1.43930961,1,1,1
37,1.439844824,1.497765386,1.428827636,1,1,1
38,1.450252336,1.508716767,1.418421999,1,1,1
39,1.460735074,1.519748222,1.408092142,1,1,1
40,1.471293585,1.530860337,1.397837515,1,1,1
41,1.481928414,1.542053701,1.387657567,1,1,1
42,1.492640115,1.55332891,1.377551757,1,1,1
43,1.503429242,1.56468656,1.367519544,1,1,1
44,1.514296355,1.576127256,1.357560391,1,1,1
45,1.525242018,1.587651604,1.347673768,1,1,1
46,1.536266799,1.599260216,1.337859145,1,1,1
47,1.547371269,1.610953708,1.328115999,1,1,1
48,1.558556004,1.6227327,1.318443808,1,1,1
49,1.569821586,1.634597818,1.308842057,1,1,1
50,1.581168597,1.646549692,1.299310232,1,1,1
51,1.592597627,1.658588955,1.289847823,1,1,1
52,1.604109269,1.670716248,1.280454326,1,1,1
53,1.615704119,1.682932213,1.271129238,1,1,1
54,1.627382779,1.695237499,1.261872062,1,1,1
55,1.639145855,1.707632758,1.252682302,1,1,1
56,1.650993958,1.72011865,1.243559468,1,1,1
57,1.662927701,1.732695836,1.234503072,1,1,1
58,1.674947703,1.745364984,1.225512631,1,1,1
59,1.687054589,1.758126767,1.216587664,1,1,1
60,1.699248986,1.770981861,1.207727694,1,1,1
61,1.711531527,1.783930949,1.198932248,1,1,1
62,1.723902848,1.796974719,1.190200857,1,1,1
63,1.736363593,1.810113862,1.181533052,1,1,1
64,1.748914406,1.823349076,1.172928373,1,1,1
65,1.761555939,1.836681064,1.164386358,1,1,1
66,1.774288848,1.850110533,1.155906551,1,1,1
67,1.787113793,1.863638195,1.1474885,1,1,1
68,1.80003144,1.877264769,1.139131755,1,1,1
69,1.813042458,1.890990978,1.130835868,1,1,1
70,1.826147523,1.904817551,1.122600398,1,1,1
71,1.839347314,1.918745221,1.114424904,1,1,1
72,1.852642516,1.932774727,1.106308948,1,1,1
73,1.866033818,1.946906815,1.098252099,1,1,1
74,1.879521916,1.961142234,1.090253924,1,1,1
75,1.893107508,1.975481739,1.082313998,1,1,1
76,1.906791301,1.989926092,1.074431895,1,1,1
77,1.920574002,2.00447606,1.066607194,1,1,1
78,1.934456328,2.019132414,1.058839478,1,1,1
79,1.948438999,2.033895933,1.051128331,1,1,1
80,1.962522739,2.0487674,1.043473342,1,1,1
81,1.97670828,2.063747604,1.035874102,1,1,1
82,1.990996357,2.078837341,1.028330204,1,1,1
83,2.005387711,2.094037411,1.020841245,1,1,1
84,2.019883089,2.109348621,1.013406826,1,1,1
85,2.034483242,2.124771784,1.006026549,1,1,1
86,2.049188929,2.140307718,0.99870002,1,1,1
87,2.064000912,2.155957248,0.991426848,1,1,1
88,2.078919959,2.171721205,0.984206643,1,1,1
89,2.093946844,2.187600424,0.97703902,1,1,1
90,2.109082346,2.20359575,0.969923597,1,1,1
